TrialNumber,Hit,Miss,FalseAlarm,CorrectRejection,ShownDigit,Signal,Decision,TrialDuration,DigitStart,DigitEnd,DigitDuration,DecisionTimestamp,BlinkStart,BlinkEnd,BlinkDuration,RT
13,0,0,0,1,4,0,0,1.9834198951721191,24.005134105682373,25.97188711166382,1.9667530059814453,0,25.971888065338135,25.988554000854492,0.016665935516357422,
14,0,0,0,1,3,0,0,1.9834120273590088,26.005203008651733,27.971912145614624,1.9667091369628906,0,27.97191309928894,27.988615036010742,0.016701936721801758,
15,1,0,0,0,2,1,1,1.9834768772125244,28.005231142044067,29.972039222717285,1.9668080806732178,28.63899302482605,29.9720401763916,29.988708019256592,0.016667842864990234,0.6337618827819824
16,0,0,0,1,6,0,0,1.9834411144256592,30.00532603263855,31.972102165222168,1.9667761325836182,0,31.972103118896484,31.98876714706421,0.01666402816772461,
17,0,0,0,1,4,0,0,1.9834229946136475,32.00541710853577,33.97217512130737,1.9667580127716064,0,33.97217512130737,33.988840103149414,0.016664981842041016,
18,0,0,0,1,7,0,0,1.9834139347076416,34.00546622276306,35.97225022315979,1.9667840003967285,0,35.97225022315979,35.9888801574707,0.016629934310913086,
19,1,0,0,0,2,1,1,1.983361005783081,36.00559115409851,37.97232508659363,1.9667339324951172,36.65601205825806,37.97232508659363,37.98895215988159,0.016627073287963867,0.6504209041595459
20,0,0,0,1,4,0,0,1.9834110736846924,38.00566601753235,39.972411155700684,1.966745138168335,0,39.972412109375,39.98907709121704,0.016664981842041016,
21,0,0,0,1,3,0,0,1.983422040939331,40.005728006362915,41.972456216812134,1.9667282104492188,0,41.972456216812134,41.989150047302246,0.016693830490112305,
22,0,0,0,1,1,0,0,1.983426809310913,42.0058012008667,43.97256112098694,1.9667599201202393,0,43.97256112098694,43.98922801017761,0.016666889190673828,
23,0,0,0,1,4,0,0,1.9833590984344482,44.00587511062622,45.97256517410278,1.9666900634765625,0,45.9725661277771,45.98923420906067,0.016668081283569336,
24,0,0,0,1,1,0,0,1.9834198951721191,46.00588417053223,47.97264122962952,1.96675705909729,0,47.97264218330383,47.989304065704346,0.016661882400512695,
25,1,0,0,0,2,1,1,1.9834980964660645,48.00595307350159,49.972782135009766,1.9668290615081787,49.88991713523865,49.972782135009766,49.98945116996765,0.016669034957885742,1.8839640617370605
26,0,0,0,1,5,0,0,1.9833979606628418,50.00610017776489,51.972859144210815,1.9667589664459229,0,51.972859144210815,51.989498138427734,0.016638994216918945,
27,0,0,0,1,7,0,0,1.983436107635498,52.00616502761841,53.972883224487305,1.9667181968688965,0,53.97288417816162,53.989601135253906,0.016716957092285156,
28,0,0,0,1,5,0,0,1.983443021774292,54.00621819496155,55.9729962348938,1.966778039932251,0,55.9729962348938,55.98966121673584,0.016664981842041016,
29,0,0,0,1,2,0,0,1.9834339618682861,56.006312131881714,57.97308111190796,1.9667689800262451,0,57.97308111190796,57.98974609375,0.016664981842041016,
30,0,0,0,1,3,0,0,1.9833879470825195,58.00639820098877,59.97314500808716,1.9667468070983887,0,59.973146200180054,59.98978614807129,0.01663994789123535,
31,1,0,0,0,4,1,1,1.9834210872650146,60.00647711753845,61.9731981754303,1.9667210578918457,60.44030809402466,61.9731981754303,61.98989820480347,0.016700029373168945,0.43383097648620605
32,0,0,0,1,3,0,0,1.9834039211273193,62.00657320022583,63.97331213951111,1.9667389392852783,0,63.97331213951111,63.98997712135315,0.016664981842041016,
33,1,0,0,0,8,1,1,1.983426809310913,64.0066192150116,65.97338008880615,1.9667608737945557,64.72376108169556,65.97338104248047,65.99004602432251,0.016664981842041016,0.71714186668396
34,0,0,0,1,2,0,0,1.9834580421447754,66.00666403770447,67.97346019744873,1.9667961597442627,0,67.97346115112305,67.99012207984924,0.01666092872619629,
35,0,0,0,1,7,0,0,1.9833931922912598,68.00674700737,69.97349500656128,1.9667479991912842,0,69.97349619865417,69.99014019966125,0.016644001007080078,
36,0,0,1,0,5,0,1,1.9834561347961426,70.00681400299072,71.97360301017761,1.9667890071868896,71.30738806724548,71.97360420227051,71.99027013778687,0.016665935516357422,1.3005740642547607
37,0,0,0,1,6,0,0,1.9834210872650146,72.0069191455841,73.9736340045929,1.966714859008789,0,73.9736340045929,73.99034023284912,0.016706228256225586,
38,0,0,0,1,1,0,0,1.9834249019622803,74.0069842338562,75.9737160205841,1.9667317867279053,0,75.9737160205841,75.99040913581848,0.016693115234375,
